location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
478167,NS 84028 39348,NA,NA,NA,NA,478167,10,75,5,10,15,1,100,NA,NA,sampling_point,2024-10-05,NS 84028 39348
478245,NH 69336 44536,NA,NA,NA,NA,478245,5,90,0,5,8,1,100,NA,NA,sampling_point,2019-01-09,NH 69336 44536
478245,NH 68934 44440,NA,NA,NA,NA,478245,5,90,0,5,8,1,100,NA,NA,sampling_point,2024-10-05,NH 68934 44440
478246,NH 69611 44036,NA,NA,NA,NA,478246,10,70,10,10,6,1,100,NA,NA,sampling_point,2019-01-09,NH 69611 44036
478246,NH 69336 44536,NA,NA,NA,NA,478246,10,70,10,10,6,1,100,NA,NA,sampling_point,2024-10-05,NH 69336 44536
478247,NS 36277 26142,NA,NA,NA,NA,478247,15,70,5,10,5,0.8,100,NA,NA,sampling_point,2019-01-09,NS 36277 26142
478247,NH 69611 44036,NA,NA,NA,NA,478247,15,70,5,10,5,0.8,100,NA,NA,sampling_point,2024-10-05,NH 69611 44036
478304,NS 36031 26407,NA,NA,NA,NA,478304,0,0,0,100,10,2.5,100,118.6666667,3,sampling_point,2019-01-09,NS 36031 26407
478304,NS 36277 26142,NA,NA,NA,NA,478304,0,0,0,100,10,2.5,100,118.6666667,3,sampling_point,2024-10-05,NS 36277 26142
478305,NO 65508 57838,NA,NA,NA,NA,478305,1,0,0,99,7,0.4,100,131,2,sampling_point,2019-01-09,NO 65508 57838
478305,NS 36031 26407,NA,NA,NA,NA,478305,1,0,0,99,7,0.4,100,131,2,sampling_point,2024-10-05,NS 36031 26407
478308,NO 73110 99412,NA,NA,NA,NA,478308,13,61,16,10,30,5.98,100,NA,NA,sampling_point,2019-01-09,NO 73110 99412
478308,NO 65508 57838,NA,NA,NA,NA,478308,13,61,16,10,30,5.98,100,NA,NA,sampling_point,2024-10-05,NO 65508 57838
